Series ID;Region Name;Region Code;2019
MHICILBSC45001A052NCEN;Abbeville County, SC;45001;42758
MHICILBLA22001A052NCEN;Acadia Parish, LA;22001;39822
MHICILBVA51001A052NCEN;Accomack County, VA;51001;42417
MHICILBID16001A052NCEN;Ada County, ID;16001;69224
MHICILBIA19001A052NCEN;Adair County, IA;19001;51496
MHICILBMO29001A052NCEN;Adair County, MO;29001;39067
MHICILBKY21001A052NCEN;Adair County, KY;21001;33406
MHICILBOK40001A052NCEN;Adair County, OK;40001;35912
MHICILBWI55001A052NCEN;Adams County, WI;55001;48422
MHICILBPA42001A052NCEN;Adams County, PA;42001;63600
MHICILBCO08001A052NCEN;Adams County, CO;8001;72963
MHICILBMS28001A052NCEN;Adams County, MS;28001;30662
MHICILBND38001A052NCEN;Adams County, ND;38001;49287
MHICILBNE31001A052NCEN;Adams County, NE;31001;50150
MHICILBOH39001A052NCEN;Adams County, OH;39001;38270
MHICILBIA19003A052NCEN;Adams County, IA;19003;47378
MHICILBIN18001A052NCEN;Adams County, IN;18001;48635
MHICILBID16003A052NCEN;Adams County, ID;16003;44722
MHICILBIL17001A052NCEN;Adams County, IL;17001;52202
MHICILBWA53001A052NCEN;Adams County, WA;53001;47739
MHICILBVT50001A052NCEN;Addison County, VT;50001;69528
MHICILBSC45003A052NCEN;Aiken County, SC;45003;51749
MHICILBMN27001A052NCEN;Aitkin County, MN;27001;49113
MHICILBFL12001A052NCEN;Alachua County, FL;12001;47507
MHICILBNC37001A052NCEN;Alamance County, NC;37001;54805
MHICILBCA06001A052NCEN;Alameda County, CA;6001;105354
MHICILBCO08003A052NCEN;Alamosa County, CO;8003;34962
MHICILBWY56001A052NCEN;Albany County, WY;56001;47150
MHICILBNY36001A052NCEN;Albany County, NY;36001;65266
MHICILBVA51003A052NCEN;Albemarle County, VA;51003;81662
MHICILBMI26001A052NCEN;Alcona County, MI;26001;38772
MHICILBMS28003A052NCEN;Alcorn County, MS;28003;39778
MHICILBAK02013A052NCEN;Aleutians East Borough, AK;2013;58706
MHICILBAK02016A052NCEN;Aleutians West CA, AK;2016;75414
MHICILBNC37003A052NCEN;Alexander County, NC;37003;49300
MHICILBIL17003A052NCEN;Alexander County, IL;17003;32871
MHICILBVA51510A052NCEN;Alexandria City, VA;51510;98932
MHICILBOK40003A052NCEN;Alfalfa County, OK;40003;51836
MHICILBMI26003A052NCEN;Alger County, MI;26003;46114
MHICILBIA19005A052NCEN;Allamakee County, IA;19005;50733
MHICILBMI26005A052NCEN;Allegan County, MI;26005;62669
MHICILBMD24001A052NCEN;Allegany County, MD;24001;44176
MHICILBNY36003A052NCEN;Allegany County, NY;36003;46772
MHICILBNC37005A052NCEN;Alleghany County, NC;37005;36692
MHICILBVA51005A052NCEN;Alleghany County, VA;51005;48681
MHICILBPA42003A052NCEN;Allegheny County, PA;42003;63447
MHICILBIN18003A052NCEN;Allen County, IN;18003;54706
MHICILBKS20001A052NCEN;Allen County, KS;20001;41862
MHICILBKY21003A052NCEN;Allen County, KY;21003;42543
MHICILBOH39003A052NCEN;Allen County, OH;39003;54137
MHICILBLA22003A052NCEN;Allen Parish, LA;22003;41585
MHICILBSC45005A052NCEN;Allendale County, SC;45005;28732
MHICILBMI26007A052NCEN;Alpena County, MI;26007;39884
MHICILBCA06003A052NCEN;Alpine County, CA;6003;50969
MHICILBCA06005A052NCEN;Amador County, CA;6005;58769
MHICILBVA51007A052NCEN;Amelia County, VA;51007;52946
MHICILBVA51009A052NCEN;Amherst County, VA;51009;50217
MHICILBMS28005A052NCEN;Amite County, MS;28005;36546
MHICILBAK02020A052NCEN;Anchorage Muny, AK;2020;79074
MHICILBKY21005A052NCEN;Anderson County, KY;21005;54290
MHICILBSC45007A052NCEN;Anderson County, SC;45007;50899
MHICILBKS20003A052NCEN;Anderson County, KS;20003;45083
MHICILBTN47001A052NCEN;Anderson County, TN;47001;46548
MHICILBTX48001A052NCEN;Anderson County, TX;48001;42968
MHICILBMO29003A052NCEN;Andrew County, MO;29003;55750
MHICILBTX48003A052NCEN;Andrews County, TX;48003;65964
MHICILBME23001A052NCEN;Androscoggin County, ME;23001;54779
MHICILBTX48005A052NCEN;Angelina County, TX;48005;48269
MHICILBMD24003A052NCEN;Anne Arundel County, MD;24003;98919
MHICILBMN27003A052NCEN;Anoka County, MN;27003;81032
MHICILBNC37007A052NCEN;Anson County, NC;37007;36036
MHICILBNE31003A052NCEN;Antelope County, NE;31003;46161
MHICILBMI26009A052NCEN;Antrim County, MI;26009;54199
MHICILBAZ04001A052NCEN;Apache County, AZ;4001;31631
MHICILBIA19007A052NCEN;Appanoose County, IA;19007;37443
MHICILBGA13001A052NCEN;Appling County, GA;13001;38478
MHICILBVA51011A052NCEN;Appomattox County, VA;51011;48152
MHICILBTX48007A052NCEN;Aransas County, TX;48007;48531
MHICILBCO08005A052NCEN;Arapahoe County, CO;8005;79757
MHICILBTX48009A052NCEN;Archer County, TX;48009;56307
MHICILBCO08007A052NCEN;Archuleta County, CO;8007;51206
MHICILBMI26011A052NCEN;Arenac County, MI;26011;40247
MHICILBAR05001A052NCEN;Arkansas County, AR;5001;48552
MHICILBVA51013A052NCEN;Arlington County, VA;51013;115118
MHICILBTX48011A052NCEN;Armstrong County, TX;48011;57335
MHICILBPA42005A052NCEN;Armstrong County, PA;42005;53240
MHICILBME23003A052NCEN;Aroostook County, ME;23003;37613
MHICILBNE31005A052NCEN;Arthur County, NE;31005;40991
MHICILBLA22005A052NCEN;Ascension Parish, LA;22005;76884
MHICILBNC37009A052NCEN;Ashe County, NC;37009;37897
MHICILBOH39005A052NCEN;Ashland County, OH;39005;48557
MHICILBWI55003A052NCEN;Ashland County, WI;55003;42492
MHICILBAR05003A052NCEN;Ashley County, AR;5003;43096
MHICILBOH39007A052NCEN;Ashtabula County, OH;39007;42951
MHICILBWA53003A052NCEN;Asotin County, WA;53003;49802
MHICILBLA22007A052NCEN;Assumption Parish, LA;22007;46409
MHICILBTX48013A052NCEN;Atascosa County, TX;48013;52194
MHICILBKS20005A052NCEN;Atchison County, KS;20005;46052
MHICILBMO29005A052NCEN;Atchison County, MO;29005;45949
MHICILBOH39009A052NCEN;Athens County, OH;39009;39425
MHICILBGA13003A052NCEN;Atkinson County, GA;13003;33940
MHICILBNJ34001A052NCEN;Atlantic County, NJ;34001;59856
MHICILBOK40005A052NCEN;Atoka County, OK;40005;37345
MHICILBMS28007A052NCEN;Attala County, MS;28007;32581
MHICILBMO29007A052NCEN;Audrain County, MO;29007;41716
MHICILBIA19009A052NCEN;Audubon County, IA;19009;47251
MHICILBOH39011A052NCEN;Auglaize County, OH;39011;60769
MHICILBVA51015A052NCEN;Augusta County, VA;51015;58946
MHICILBSD46003A052NCEN;Aurora County, SD;46003;50303
MHICILBTX48015A052NCEN;Austin County, TX;48015;62391
MHICILBAL01001A052NCEN;Autauga County, AL;1001;52517
MHICILBNC37011A052NCEN;Avery County, NC;37011;42286
MHICILBLA22009A052NCEN;Avoyelles Parish, LA;22009;33722
MHICILBCO08009A052NCEN;Baca County, CO;8009;34251
MHICILBGA13005A052NCEN;Bacon County, GA;13005;37266
MHICILBTX48017A052NCEN;Bailey County, TX;48017;40916
MHICILBFL12003A052NCEN;Baker County, FL;12003;55713
MHICILBOR41001A052NCEN;Baker County, OR;41001;45512
MHICILBGA13007A052NCEN;Baker County, GA;13007;34683
MHICILBGA13009A052NCEN;Baldwin County, GA;13009;39311
MHICILBAL01003A052NCEN;Baldwin County, AL;1003;54593
MHICILBKY21007A052NCEN;Ballard County, KY;21007;42262
MHICILBMD24005A052NCEN;Baltimore County, MD;24005;74122
MHICILBMD24510A052NCEN;Baltimore City, MD;24510;47914
MHICILBSC45009A052NCEN;Bamberg County, SC;45009;31080
MHICILBTX48019A052NCEN;Bandera County, TX;48019;53549
MHICILBGA13011A052NCEN;Banks County, GA;13011;49240
MHICILBNE31007A052NCEN;Banner County, NE;31007;48039
MHICILBID16005A052NCEN;Bannock County, ID;16005;49019
